timestamp,side,quantity,price,calculated_amount,fee,PnL,Cumulative_PnL
2024-03-08 20:38:00,1,0.00334313,94814000,316975.52782,158.48,-317134.00782,-378537.78728999855
2024-03-08 20:45:00,0,0.05310767,94881000,5038908.83727,2519.45,5036389.38727,4657851.599980001
2024-03-08 20:57:00,0,0.00517003,95011000,491209.72033,245.6,490964.12033,5148815.720310002
2024-03-08 21:00:00,1,0.03542243,95124000,3369523.23132,1684.76,-3371207.9913199996,1777607.728990002
2024-03-08 21:00:00,1,0.01457757,95124000,1386676.76868,693.33,-1387370.09868,390237.630310002
2024-03-08 21:00:00,1,0.0082,95070000,779574.0000000001,389.78,-779963.7800000001,-389726.1496899981
2024-03-08 21:03:00,0,0.03149868,95055000,2994107.0274,1497.05,2992609.9774,2602883.827710002
2024-03-08 21:03:00,0,0.00465961,95056000,442923.88816,221.46,442702.42815999995,3045586.2558700023
2024-03-08 21:03:00,0,0.00128547,95056000,122191.63631999999,61.09,122130.54632,3167716.8021900025
2024-03-08 21:16:00,0,0.05,94899000,4744950.0,2372.47,4742577.53,7910294.332190003
2024-03-08 21:17:00,0,0.0125,94902000,1186275.0,593.13,1185681.87,9095976.202190004
2024-03-08 21:24:00,1,0.02950001,95082000,2804919.95082,1402.45,-2806322.40082,6289653.801370004
2024-03-08 21:24:00,1,0.01324076,95082000,1258957.9423200001,629.47,-1259587.4123200001,5030066.389050004
2024-03-08 21:24:00,1,0.00725923,95082000,690222.10686,345.11,-690567.21686,4339499.172190004
2024-03-08 21:27:00,1,0.00524178,95044000,498199.73831999995,249.09,-498448.82832,3841050.343870004
2024-03-08 21:49:00,1,0.01758327,95219000,1674261.3861300002,837.13,-1675098.5161300001,2165951.8277400043
2024-03-08 22:05:00,0,0.0011186,95012000,106280.4232,53.14,106227.2832,2272179.1109400042
2024-03-08 22:05:00,0,0.02523125,95012000,2397271.525,1198.63,2396072.895,4668252.005940004
2024-03-08 22:05:00,0,0.02365015,95012000,2247048.0518,1123.52,2245924.5318,6914176.537740004
2024-03-08 22:26:00,1,0.02722841,94988000,2586372.20908,1293.18,-2587665.38908,4326511.148660004
2024-03-08 22:27:00,1,0.01815595,94988000,1724597.3786,862.29,-1725459.6686,2601051.480060004
2024-03-08 22:27:00,1,0.00052638,94988000,49999.78344,24.99,-50024.77344,2551026.706620004
2024-03-08 22:28:00,1,0.0313,94990000,2973187.0,1486.59,-2974673.59,-423646.8833799958
2024-03-08 22:30:00,0,0.02735877,95001000,2599110.50877,1299.55,2597810.9587700004,2174164.0753900046
2024-03-08 22:31:00,1,0.0273,95147000,2597513.1,1298.75,-2598811.85,-424647.77460999554
2024-03-08 22:42:00,0,0.00787027,95003000,747699.26081,373.84,747325.42081,322677.6462000045
2024-03-08 22:42:00,0,0.00179589,95003000,170614.93767,85.3,170529.63767000003,493207.2838700045
2024-03-08 22:42:00,0,0.00015617,95003000,14836.618509999998,7.41,14829.208509999999,508036.49238000455
2024-03-08 22:47:00,0,0.04985475,95104000,4741386.144,2370.69,4739015.454,5247051.946380004
2024-03-08 22:47:00,0,0.00014525,95104000,13813.856,6.9,13806.956,5260858.9023800045
2024-03-08 22:48:00,1,0.0032159,95140000,305960.72599999997,152.98,-306113.70599999995,4954745.196380004
2024-03-08 22:48:00,1,0.03163128,95140000,3009399.9792,1504.69,-3010904.6692,1943840.5271800044
2024-03-08 22:48:00,1,0.0046979,95140000,446958.20599999995,223.47,-447181.6759999999,1496658.8511800044
2024-03-08 22:48:00,1,0.00105108,95140000,99999.7512,49.99,-100049.7412,1396609.1099800044
2024-03-08 22:48:00,1,0.00940384,95140000,894681.3376,447.34,-895128.6775999999,501480.43238000444
2024-03-08 22:49:00,0,0.05,95149000,4757450.0,2378.72,4755071.28,5256551.712380005
2024-03-08 22:52:00,1,0.05,95191000,4759550.0,2379.77,-4761929.77,494621.9423800055
2024-03-08 22:52:00,1,0.00885135,95191000,842568.8578499999,421.28,-842990.1378499999,-348368.19546999445
2024-03-08 22:52:00,1,0.00094865,95191000,90302.94215,45.15,-90348.09215,-438716.28761999443
2024-03-08 23:04:00,0,0.03108324,95136000,2957135.1206400003,1478.56,2955656.5606400003,2516940.273020006
2024-03-08 23:05:00,1,0.00484993,95198000,461703.63613999996,230.85,-461934.48613999994,2055005.7868800058
2024-03-08 23:05:00,1,0.00720848,95198000,686232.87904,343.11,-686575.98904,1368429.7978400057
2024-03-08 23:05:00,1,0.00609068,95198000,579820.55464,289.91,-580110.46464,788319.3332000057
2024-03-08 23:05:00,1,0.00614577,95198000,585065.01246,292.53,-585357.54246,202961.79074000567
2024-03-08 23:05:00,1,0.00238252,95198000,226811.13895999998,113.4,-226924.53895999998,-23962.748219994304
2024-03-08 23:05:00,1,0.00442262,95198000,421024.57876000006,210.51,-421235.0887600001,-445197.8369799944
2024-03-08 23:10:00,0,0.00231589,95279000,220655.68331000002,110.32,220545.36331000002,-224652.47366999436
2024-03-08 23:11:00,0,0.001,95300000,95300.0,47.65,95252.35,-129400.12366999435
2024-03-08 23:11:00,0,0.00021234,95321000,20240.46114,10.12,20230.34114,-109169.78252999435
