timestamp|side|price|quantity|calculated_amount|fee|PnL|cumulative_PnL|current_quantity
2024-03-08 11:33:00|0|94386000|0.05|4719300.0|2359.65|-4721659.65|-6903603.551329998|0.07260838000000001
2024-03-08 11:53:00|1|94489000|0.00508257|480246.95673|240.12|480006.83673|-6423596.714599999|0.06752581000000002
2024-03-08 11:53:00|1|94489000|0.00206916|195512.85924|97.75|195415.10924|-6228181.6053599985|0.06545665000000002
2024-03-08 11:58:00|1|94564000|0.00386693|365672.36852|182.83|365489.53852|-5862692.066839999|0.06158972000000002
2024-03-08 11:58:00|1|94564000|0.00010574|9999.19736|4.99|9994.20736|-5852697.859479998|0.06148398000000002
2024-03-08 11:58:00|1|94564000|0.00621304|587529.9145600001|293.76|587236.15456|-5265461.7049199985|0.05527094000000002
2024-03-08 12:06:00|0|94518000|0.03381186|3195829.38348|1597.91|-3197427.29348|-8462888.998399999|0.08908280000000002
2024-03-08 12:23:00|1|94848000|0.02443017|2317152.7641600003|1158.57|2315994.1941600004|-6146894.804239999|0.06465263000000002
2024-03-08 12:23:00|1|94848000|0.00527211|500049.08928|250.02|499799.06928|-5647095.734959998|0.05938052000000002
2024-03-08 12:23:00|1|94848000|0.00922787|875245.0137600001|437.62|874807.3937600001|-4772288.341199998|0.05015265000000002
2024-03-08 12:23:00|1|94848000|0.00948846|899961.45408|449.98|899511.4740800001|-3872776.8671199977|0.04066419000000002
2024-03-08 12:23:00|1|94848000|0.00158139|149991.67872|74.99|149916.68872|-3722860.1783999978|0.039082800000000015
2024-03-08 12:24:00|1|94839000|0.0355154|3368245.0206000004|1684.12|3366560.9006000003|-356299.2777999975|0.0035674000000000122
2024-03-08 12:25:00|1|94839000|0.0034845999999999996|330475.97939999995|165.23|330310.7494|-25988.528399997507|8.280000000001264e-05
2024-03-08 12:40:00|0|94630000|0.03484821|3297686.1122999997|1648.84|-3299334.9522999995|-3325323.480699997|0.03493101000000001
2024-03-08 12:47:00|0|94630000|0.02|1892600.0|946.3|-1893546.3|-5218869.780699997|0.054931010000000016
2024-03-08 12:51:00|1|94794000|0.00515838|488983.47371999995|244.49|488738.98371999996|-4730130.796979997|0.04977263000000002
2024-03-08 12:51:00|1|94794000|0.00105491|99999.13854|49.99|99949.14854|-4630181.648439997|0.04871772000000002
2024-03-08 13:35:00|0|94598000|0.01365855|1292071.5129|646.03|-1292717.5429|-5922899.191339997|0.06237627000000002
2024-03-08 13:55:00|1|94495000|0.00111039|104926.30304999999|52.46|104873.84304999998|-5818025.348289996|0.061265880000000016
2024-03-08 13:55:00|1|94495000|0.00211642|199991.1079|99.99|199891.1179|-5618134.230389996|0.059149460000000015
2024-03-08 14:19:00|0|94304000|0.02083966|1965263.2966399998|982.63|-1966245.9266399997|-7584380.157029996|0.07998912000000001
2024-03-08 14:19:00|0|94304000|0.02006034|1891770.30336|945.88|-1892716.18336|-9477096.340389995|0.10004946
2024-03-08 15:02:00|1|94449000|0.01058244|999500.8755600001|499.75|999001.1255600001|-8478095.214829994|0.08946702000000001
2024-03-08 15:59:00|0|94829000|0.0107|1014670.2999999999|507.33|-1015177.6299999999|-9493272.844829995|0.10016702000000001
2024-03-08 16:00:00|1|94988000|0.05|4749400.0|2374.7|4747025.3|-4746247.544829995|0.05016702000000001
2024-03-08 16:15:00|1|94761000|0.00451738|428071.44617999997|214.03|427857.41617999994|-4318390.128649996|0.045649640000000005
2024-03-08 16:45:00|0|94715000|0.03615818|3424722.0187|1712.36|-3426434.3787|-7744824.507349996|0.08180782
2024-03-08 17:39:00|1|94675000|0.01392745|1318581.3287499999|659.29|1317922.0387499998|-6426902.468599996|0.06788037000000001
2024-03-08 17:39:00|1|94666000|0.00010557|9993.88962|4.99|9988.89962|-6416913.568979995|0.06777480000000001
2024-03-08 17:40:00|1|94746000|0.00637026|603556.65396|301.77|603254.88396|-5813658.685019995|0.06140454000000001
2024-03-08 17:40:00|1|94746000|0.00105545|99999.66570000001|49.99|99949.6757|-5713709.0093199955|0.06034909000000001
2024-03-08 17:43:00|1|94730000|0.00527289|499500.8697|249.75|499251.1197|-5214457.889619996|0.055076200000000006
2024-03-08 17:43:00|1|94730000|0.01804057|1708983.1960999998|854.49|1708128.7060999998|-3506329.183519996|0.03703563000000001
2024-03-08 17:43:00|1|94730000|0.01969008|1865241.2784|932.62|1864308.6583999998|-1642020.525119996|0.017345550000000008
2024-03-08 17:43:00|1|94730000|0.00699646|662774.6558000001|331.38|662443.2758000001|-979577.2493199959|0.010349090000000009
2024-03-08 18:06:00|0|94549000|0.05|4727450.0|2363.72|-4729813.72|-5709390.9693199955|0.06034909000000001
2024-03-08 18:11:00|0|94553000|0.002|189106.0|94.55|-189200.55|-5898591.519319995|0.06234909000000001
2024-03-08 18:15:00|1|94820000|0.00903406|856609.5692|428.3|856181.2692|-5042410.250119995|0.05331503000000001
2024-03-08 18:15:00|1|94803000|0.00285323|270494.76369|135.24|270359.52369|-4772050.726429995|0.050461800000000015
2024-03-08 18:23:00|1|94612000|0.00105694|99999.20727999999|49.99|99949.21727999998|-4672101.509149995|0.049404860000000016
2024-03-08 18:23:00|1|94612000|0.03361931|3180790.15772|1590.39|3179199.76772|-1492901.7414299948|0.015785550000000016
2024-03-08 18:26:00|1|94733000|0.00437184|414157.51872|207.07|413950.44872|-1078951.2927099948|0.011413710000000016
2024-03-08 18:26:00|1|94733000|0.0114|1079956.2|539.97|1079416.23|464.93729000515305|1.3710000000015723e-05
2024-03-08 18:36:00|0|94612000|0.05|4730600.0|2365.3|-4732965.3|-4732500.362709994|0.05001371000000002
2024-03-08 19:13:00|0|94609000|0.05|4730450.0|2365.22|-4732815.22|-9465315.582709994|0.10001371000000002
2024-03-08 20:38:00|1|94814000|0.04570766|4333726.07524|2166.86|4331559.21524|-5133756.367469994|0.05430605000000002
2024-03-08 20:38:00|1|94814000|0.00094921|89998.39694|44.99|89953.40694|-5043802.960529994|0.05335684000000002
2024-03-08 20:38:00|1|94809000|0.05|4740450.0|2370.22|4738079.78|-305723.18052999396|0.0033568400000000206
2024-03-08 20:38:00|1|94814000|0.00334313|316975.52782|158.48|316817.04782000004|11093.867290006077|1.3710000000020494e-05
2024-03-08 20:45:00|0|94881000|0.05310767|5038908.83727|2519.45|-5041428.28727|-5030334.419979994|0.053121380000000024
2024-03-08 20:57:00|0|95011000|0.00517003|491209.72033|245.6|-491455.32032999996|-5521789.740309994|0.05829141000000002
2024-03-08 21:00:00|1|95124000|0.03542243|3369523.23132|1684.76|3367838.47132|-2153951.2689899937|0.022868980000000025
2024-03-08 21:00:00|1|95124000|0.01457757|1386676.76868|693.33|1385983.43868|-767967.8303099938|0.008291410000000025
2024-03-08 21:00:00|1|95070000|0.0082|779574.0000000001|389.78|779184.2200000001|11216.389690006268|9.141000000002439e-05
2024-03-08 21:03:00|0|95055000|0.03149868|2994107.0274|1497.05|-2995604.0774|-2984387.6877099937|0.03159009000000003
2024-03-08 21:03:00|0|95056000|0.00465961|442923.88816|221.46|-443145.34816|-3427533.0358699937|0.03624970000000003
2024-03-08 21:03:00|0|95056000|0.00128547|122191.63631999999|61.09|-122252.72631999999|-3549785.7621899936|0.03753517000000003
2024-03-08 21:16:00|0|94899000|0.05|4744950.0|2372.47|-4747322.47|-8297108.232189993|0.08753517000000002
2024-03-08 21:17:00|0|94902000|0.0125|1186275.0|593.13|-1186868.13|-9483976.362189993|0.10003517000000002
2024-03-08 21:24:00|1|95082000|0.02950001|2804919.95082|1402.45|2803517.5008199997|-6680458.861369994|0.07053516000000001
2024-03-08 21:24:00|1|95082000|0.01324076|1258957.9423200001|629.47|1258328.4723200002|-5422130.389049994|0.05729440000000001
2024-03-08 21:24:00|1|95082000|0.00725923|690222.10686|345.11|689876.9968600001|-4732253.3921899935|0.05003517000000001
2024-03-08 21:27:00|1|95044000|0.00524178|498199.73831999995|249.09|497950.6483199999|-4234302.743869994|0.04479339000000001
2024-03-08 21:49:00|1|95219000|0.01758327|1674261.3861300002|837.13|1673424.2561300003|-2560878.4877399933|0.027210120000000008
2024-03-08 22:05:00|0|95012000|0.0011186|106280.4232|53.14|-106333.5632|-2667212.0509399935|0.02832872000000001
2024-03-08 22:05:00|0|95012000|0.02523125|2397271.525|1198.63|-2398470.155|-5065682.205939993|0.05355997000000001
2024-03-08 22:05:00|0|95012000|0.02365015|2247048.0518|1123.52|-2248171.5718|-7313853.777739993|0.07721012000000002
2024-03-08 22:26:00|1|94988000|0.02722841|2586372.20908|1293.18|2585079.02908|-4728774.7486599935|0.04998171000000002
